
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02252
    c    v      wtot      wmax     ikmax
    4    1   0.02481   0.00737         1
    4    2   0.00677   0.00364         2
    4    3   0.00358   0.00322         3
    4    4   0.00105   0.00039         6
    4    5   0.00023   0.00007         4
    4    6   0.00004   0.00002         8
    4    7   0.00009   0.00004         5
    4    8   0.00027   0.00012         5
    4    9   0.00007   0.00003         4
    4   10   0.00019   0.00012         4
    4   11   0.00009   0.00005         4
    4   12   0.00023   0.00011         4
    5    1   0.01285   0.00455         4
    5    2   0.00906   0.00418         2
    5    3   0.00153   0.00058         4
    5    4   0.00121   0.00075         6
    5    5   0.00026   0.00010         7
    5    6   0.00001   0.00000         2
    5    7   0.00003   0.00001         7
    5    8   0.00006   0.00004         3
    5    9   0.00006   0.00005         3
    5   10   0.00006   0.00005         3
    5   11   0.00007   0.00007         3
    5   12   0.00018   0.00017         3
    6    1   0.00158   0.00095         2
    6    2   0.00162   0.00083         2
    6    3   0.00053   0.00029         3
    6    4   0.00011   0.00006         6
    6    5   0.00003   0.00002         6
    6    6   0.00001   0.00001         7
    6    7   0.00006   0.00005         8
    6    8   0.00000   0.00000         2
    6    9   0.00001   0.00000         2
    6   10   0.00001   0.00000         3
    6   11   0.00000   0.00000         5
    6   12   0.00001   0.00000         6
    7    1   0.00030   0.00022         1
    7    2   0.00245   0.00187         2
    7    3   0.00027   0.00012         3
    7    4   0.00024   0.00010         5
    7    5   0.00006   0.00002         3
    7    6   0.00002   0.00001         2
    7    7   0.00001   0.00000         2
    7    8   0.00002   0.00001         2
    7    9   0.00001   0.00000         2
    7   10   0.00000   0.00000         8
    7   11   0.00002   0.00001         2
    7   12   0.00001   0.00000         4
    8    1   0.00040   0.00013         7
    8    2   0.00189   0.00080         2
    8    3   0.00048   0.00016         4
    8    4   0.00013   0.00003         5
    8    5   0.00005   0.00002         4
    8    6   0.00002   0.00001         7
    8    7   0.00005   0.00004         1
    8    8   0.00001   0.00000         2
    8    9   0.00002   0.00001         1
    8   10   0.00001   0.00001         1
    8   11   0.00001   0.00001         2
    8   12   0.00001   0.00001         3
    9    1   0.00024   0.00012         2
    9    2   0.00190   0.00093         2
    9    3   0.00081   0.00043         4
    9    4   0.00043   0.00021         6
    9    5   0.00010   0.00004         7
    9    6   0.00003   0.00002         7
    9    7   0.00007   0.00003         8
    9    8   0.00002   0.00001         6
    9    9   0.00003   0.00002         1
    9   10   0.00000   0.00000         1
    9   11   0.00002   0.00002         2
    9   12   0.00002   0.00001         2
   10    1   0.00010   0.00003         8
   10    2   0.00036   0.00015         4
   10    3   0.00043   0.00031         5
   10    4   0.00028   0.00016         6
   10    5   0.00004   0.00001         6
   10    6   0.00001   0.00000         8
   10    7   0.00000   0.00000         3
   10    8   0.00002   0.00001         5
